faktor_dominan,jumlah
Sensitivitas historis wilayah,897
"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah",294
"HTH panjang, Sensitivitas historis wilayah",256
"Ketersediaan air rendah, Sensitivitas historis wilayah",252
Ketersediaan air rendah,206
HTH panjang,165
"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah",153
"Curah hujan bawah normal, Sensitivitas historis wilayah",129
"Curah hujan bawah normal, Ketersediaan air rendah, Sensitivitas historis wilayah",119
"Curah hujan bawah normal, Ketersediaan air rendah",106
"Curah hujan bawah normal, HTH panjang, Sensitivitas historis wilayah",105
"HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah",93
Curah hujan bawah normal,91
Tidak ada faktor dominan ekstrem,79
"HTH panjang, Ketersediaan air rendah",66
"Curah hujan bawah normal, HTH panjang",58
