wilayah,tahun,bulan,hujan_mm,HTH_hari,hujan_normal_mm,rasio_hujan_terhadap_normal,sifat_hujan,KAT_value,KAT_normal,rasio_KAT_terhadap_normal,produksi_padi_bulanan,luas_panen_bulanan,tanggal,hujan_score,HTH_score,KAT_score,climate_score,freq_penurunan,volatilitas,historical_score,final_score,risk_label,risk_label_bulan_depan,final_score_bulan_depan,hujan_mm_lag1,hujan_mm_roll3,rasio_hujan_terhadap_normal_lag1,rasio_hujan_terhadap_normal_roll3,HTH_hari_lag1,HTH_hari_roll3,rasio_KAT_terhadap_normal_lag1,rasio_KAT_terhadap_normal_roll3,climate_score_lag1,climate_score_roll3,faktor_dominan,rekomendasi_aksi
BANGKALAN,2018,1,451.51458669489,0,334.36025552231183,1.3503835436109732,AN,392.4344811965304,371.60765000259926,1.0560558621098033,4739.48,785.0,2018-01-01,0,0,0,0,0.4285714285714285,0.0703156797542,2,2,low,medium,4.0,,451.51458669489,,1.3503835436109732,,0.0,,1.0560558621098033,,0.0,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BANGKALAN,2018,2,202.0275448075572,2,250.45920359620155,0.8066285523021648,BN,395.8805550114736,378.6902296407141,1.0452438804259168,46564.49,7716.0,2018-02-01,2,0,0,2,0.4285714285714285,0.0703156797542,2,4,medium,medium,3.0,451.51458669489,326.7710657512236,1.3503835436109732,1.078506047956569,0.0,1.0,1.0560558621098033,1.05064987126786,0.0,1.0,"Curah hujan bawah normal, Sensitivitas historis wilayah",Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2018,3,227.06238276462727,1,243.2180108072461,0.9335755276141026,N,395.3806182513219,378.7222070730231,1.043343288394221,68927.85,11434.0,2018-03-01,0,0,1,1,0.4285714285714285,0.0703156797542,2,3,medium,medium,5.0,202.0275448075572,293.53483808902484,0.8066285523021648,1.0301958745090802,2.0,1.0,1.0452438804259168,1.0482143436433138,2.0,1.0,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2018,4,97.9131944550169,3,201.6693511093528,0.4855135096950089,BN,376.930370606397,368.12647621531903,1.0216718020590148,27021.81,4477.0,2018-04-01,2,0,1,3,0.4285714285714285,0.0703156797542,2,5,medium,high,8.0,227.06238276462727,175.66770734240046,0.9335755276141026,0.7419058632037587,1.0,2.0,1.043343288394221,1.0367529902930508,1.0,2.0,"Curah hujan bawah normal, Sensitivitas historis wilayah",Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2018,5,30.72780076838489,17,115.41785202526518,0.2662309186074484,BN,313.24320687993844,342.70869010664205,0.9100037070235346,12847.5,2218.0,2018-05-01,2,2,2,6,0.4285714285714285,0.0703156797542,2,8,high,high,8.0,97.9131944550169,118.56779266267635,0.4855135096950089,0.5617733186388533,3.0,7.0,1.0216718020590148,0.9916729324922569,3.0,3.333333333333333,"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah","Prioritaskan pemantauan lapangan, cek irigasi/ketersediaan air, dan siapkan intervensi cepat."
BANGKALAN,2018,6,54.69219777026476,24,76.57138204829721,0.7142642108218421,BN,259.1700456858588,310.93315461017323,0.8289044665546949,27605.63,4760.0,2018-06-01,2,2,2,6,0.4285714285714285,0.0703156797542,2,8,high,high,7.0,30.72780076838489,61.11106433122219,0.2662309186074484,0.4886695463747664,17.0,14.666666666666666,0.9100037070235346,0.9201933252124148,6.0,5.0,"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah","Prioritaskan pemantauan lapangan, cek irigasi/ketersediaan air, dan siapkan intervensi cepat."
BANGKALAN,2018,7,14.796745991725963,11,34.592777798230856,0.4277409023938719,BN,203.92705266104,263.9606425354236,0.7699097623660147,37426.82,6435.0,2018-07-01,2,1,2,5,0.4285714285714285,0.0703156797542,2,7,high,medium,5.0,54.69219777026476,33.40558151012521,0.7142642108218421,0.4694120106077208,24.0,17.333333333333332,0.8289044665546949,0.8362726453147481,6.0,5.666666666666667,"Curah hujan bawah normal, Ketersediaan air rendah, Sensitivitas historis wilayah","Prioritaskan pemantauan lapangan, cek irigasi/ketersediaan air, dan siapkan intervensi cepat."
BANGKALAN,2018,8,10.553126819313952,10,11.843354218353232,0.8910589538021366,N,151.47076868557656,212.62353306759448,0.7125968159550259,10502.98,1811.0,2018-08-01,0,1,2,3,0.4285714285714285,0.0703156797542,2,5,medium,high,8.0,14.796745991725963,26.680690193768225,0.4277409023938719,0.6776880223392835,11.0,15.0,0.7699097623660147,0.7704703482919119,5.0,4.666666666666667,"Ketersediaan air rendah, Sensitivitas historis wilayah",Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2018,9,6.358714014185335,19,13.651692709087982,0.4657820938170044,BN,132.6536755579959,183.16718196506284,0.7243924680462105,7624.38,1249.0,2018-09-01,2,2,2,6,0.4285714285714285,0.0703156797542,2,8,high,high,8.0,10.553126819313952,10.56952894174175,0.8910589538021366,0.5948606500043376,10.0,13.333333333333334,0.7125968159550259,0.7356330154557504,3.0,4.666666666666667,"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah","Prioritaskan pemantauan lapangan, cek irigasi/ketersediaan air, dan siapkan intervensi cepat."
BANGKALAN,2018,10,10.441120152596474,20,63.72880492657215,0.1638367479921623,BN,128.0920337053306,183.90999298675885,0.6958951885573031,450.79,74.0,2018-10-01,2,2,2,6,0.4285714285714285,0.0703156797542,2,8,high,medium,5.0,6.358714014185335,9.11765366203192,0.4657820938170044,0.5068925985371011,19.0,16.333333333333332,0.7243924680462105,0.7109614908528465,6.0,5.0,"Curah hujan bawah normal, HTH panjang, Ketersediaan air rendah, Sensitivitas historis wilayah","Prioritaskan pemantauan lapangan, cek irigasi/ketersediaan air, dan siapkan intervensi cepat."
